Name,GK,CB,CM,ST,RW,LB
Danilo Pereira,11.6,82.0,77.0,71.0,69.0,77.0
Vitolo,13.0,47.0,75.0,79.0,81.0,54.0
A. Lopes,80.4,,,,,
S. de Vrij,10.4,81.0,66.0,57.0,57.0,75.0
M. Perin,80.8,,,,,
J. Matip,10.6,82.0,72.0,63.0,63.0,76.0
I. Gueye,9.4,81.0,77.0,70.0,72.0,80.0
Iago Aspas,12.4,46.0,72.0,82.0,81.0,54.0
N. Otamendi,9.6,81.0,64.0,63.0,57.0,75.0
N. Matić,11.4,80.0,79.0,73.0,72.0,78.0
J. Pastore,10.2,63.0,81.0,77.0,81.0,68.0
Parejo,9.6,65.0,82.0,75.0,77.0,68.0
S. Kagawa,10.0,43.0,76.0,71.0,78.0,56.0
G. Bonaventura,12.0,70.0,82.0,77.0,81.0,75.0
B. Dost,10.4,57.0,67.0,81.0,69.0,54.0
K. Walker,11.4,79.0,74.0,72.0,74.0,82.0
Oscar,12.2,49.0,77.0,74.0,79.0,61.0
S. N'Zonzi,13.6,82.0,79.0,73.0,70.0,77.0
M. Musacchio,9.2,82.0,69.0,62.0,61.0,78.0
O. Toprak,11.4,81.0,67.0,59.0,60.0,77.0
José Callejón,9.8,48.0,73.0,79.0,82.0,60.0
Adrien Silva,9.2,75.0,82.0,74.0,78.0,78.0
S. Giovinco,4.2,41.0,76.0,76.0,83.0,54.0
N. Gaitán,8.0,50.0,76.0,75.0,81.0,61.0
M. Mandžukić,9.2,73.0,75.0,81.0,76.0,72.0
A. Lallana,10.8,69.0,81.0,77.0,80.0,73.0
B. Höwedes,9.2,81.0,66.0,63.0,61.0,76.0
E. Banega,9.0,66.0,81.0,71.0,79.0,70.0
Rui Patrício,81.4,,,,,
Y. Sommer,81.8,,,,,
M. Schneiderlin,10.0,79.0,79.0,71.0,72.0,79.0
Jonas,8.6,50.0,75.0,81.0,80.0,55.0
K. Gameiro,7.6,51.0,74.0,81.0,80.0,59.0
L. Piszczek,11.4,80.0,75.0,74.0,75.0,81.0
E. Garay,12.0,81.0,70.0,66.0,61.0,74.0
A. Valencia,10.2,79.0,77.0,75.0,78.0,82.0
K. Schmeichel,82.6,,,,,
M. Dembélé,14.2,78.0,81.0,77.0,78.0,76.0
Borja Valero,6.8,66.0,82.0,74.0,80.0,72.0
L. Perrin,10.0,82.0,72.0,69.0,67.0,79.0
L. Biglia,10.4,75.0,80.0,68.0,73.0,78.0
Juanfran,11.4,78.0,75.0,69.0,74.0,81.0
Diego López,80.0,,,,,
Santi Cazorla,8.4,64.0,81.0,75.0,81.0,69.0
J. Mascherano,6.8,80.0,73.0,63.0,65.0,78.0
W. Sneijder,10.0,47.0,78.0,72.0,80.0,58.0
Nani,8.0,41.0,76.0,76.0,82.0,53.0
D. De Rossi,9.8,81.0,76.0,69.0,67.0,78.0
José Reina,81.8,,,,,
Quaresma,11.2,37.0,74.0,74.0,82.0,50.0
Y. Touré,10.6,74.0,80.0,79.0,77.0,72.0
Casillas,76.6,,,,,
G. Donnarumma,80.8,,,,,
L. Sané,10.4,50.0,72.0,80.0,82.0,59.0
T. Bakayoko,12.2,80.0,76.0,65.0,68.0,78.0
C. Tolisso,10.8,78.0,81.0,79.0,77.0,76.0
I. Slimani,10.2,61.0,72.0,80.0,74.0,59.0
N. Fekir,12.2,48.0,74.0,77.0,81.0,54.0
J. Seri,11.6,73.0,81.0,75.0,79.0,76.0
K. Baldé Diao,11.2,46.0,72.0,79.0,82.0,56.0
J. Tah,9.8,81.0,64.0,52.0,53.0,73.0
F. Bernardeschi,12.8,47.0,75.0,76.0,82.0,58.0
T. Werner,10.0,46.0,68.0,81.0,80.0,55.0
André Gomes,9.8,74.0,80.0,75.0,75.0,72.0
A. Martial,10.2,55.0,72.0,81.0,82.0,62.0
L. Goretzka,11.2,77.0,81.0,77.0,79.0,80.0
Q. Promes,9.8,46.0,73.0,78.0,82.0,56.0
Lucas Vázquez,10.0,51.0,78.0,76.0,82.0,62.0
Saúl,10.2,78.0,81.0,77.0,78.0,78.0
Felipe,10.0,81.0,65.0,57.0,57.0,75.0
C. Bacca,9.0,44.0,66.0,80.0,77.0,49.0
F. Vázquez,11.6,57.0,78.0,77.0,79.0,60.0
M. Kovačić,6.8,65.0,81.0,71.0,79.0,71.0
Sergio Rico,80.4,,,,,
Manu Trigueros,10.0,69.0,81.0,77.0,78.0,71.0
A. Rüdiger,11.8,81.0,64.0,58.0,59.0,76.0
F. Thauvin,10.4,50.0,75.0,78.0,82.0,59.0
S. Savić,13.2,81.0,60.0,53.0,51.0,72.0
Iñigo Martínez,12.6,81.0,67.0,63.0,60.0,75.0
Roque Mesa,10.0,74.0,79.0,67.0,74.0,78.0
A. Florenzi,9.6,76.0,80.0,79.0,81.0,80.0
D. Klaassen,11.4,71.0,80.0,79.0,77.0,73.0
K. Bellarabi,10.0,48.0,72.0,77.0,82.0,58.0
R. Sterling,12.6,53.0,74.0,74.0,81.0,64.0
Suso,11.2,37.0,75.0,74.0,82.0,53.0
Deulofeu,12.8,41.0,72.0,74.0,82.0,55.0
E. Dier,10.6,81.0,72.0,68.0,66.0,77.0
M. Rojo,10.4,80.0,69.0,67.0,66.0,77.0
Lucas,10.8,55.0,74.0,75.0,81.0,64.0
H. Son,10.6,43.0,73.0,80.0,82.0,54.0
F. Acerbi,10.6,81.0,66.0,58.0,53.0,73.0
G. Xhaka,9.2,73.0,80.0,69.0,70.0,71.0
Jonathan Viera,12.8,60.0,81.0,75.0,82.0,68.0
Pizzi,12.4,64.0,81.0,75.0,81.0,71.0
Willian José,13.6,53.0,68.0,81.0,75.0,53.0
O. Baumann,78.6,,,,,
G. Medel,8.4,80.0,74.0,62.0,65.0,78.0
Víctor Ruíz,9.2,81.0,66.0,57.0,57.0,75.0
X. Shaqiri,11.8,55.0,77.0,74.0,80.0,64.0
J. Cuadrado,7.6,65.0,75.0,76.0,81.0,72.0
C. Immobile,9.4,54.0,67.0,81.0,76.0,56.0
Douglas Costa,10.8,46.0,73.0,76.0,81.0,57.0
N. Clyne,11.2,78.0,74.0,70.0,74.0,81.0
Iborra,10.8,81.0,78.0,75.0,69.0,74.0
K. Trapp,81.0,,,,,
V. Wanyama,11.8,82.0,75.0,72.0,70.0,78.0
Taison,10.6,55.0,76.0,77.0,82.0,63.0
Marlos,9.8,56.0,77.0,76.0,82.0,64.0
L. Stindl,10.6,68.0,80.0,80.0,80.0,71.0
M. Balotelli,2.4,46.0,68.0,79.0,77.0,50.0
A. Ramsey,8.0,69.0,80.0,75.0,78.0,73.0
W. Szczęsny,79.8,,,,,
G. Sigurðsson,11.6,59.0,78.0,77.0,80.0,66.0
Y. Brahimi,11.0,45.0,75.0,73.0,81.0,56.0
M. Arnautović,12.8,63.0,77.0,78.0,80.0,64.0
J. Henderson,9.8,77.0,81.0,74.0,76.0,79.0
M. Kruse,9.2,52.0,79.0,80.0,82.0,59.0
O. Karnezis,79.4,,,,,
L. Fejsa,12.8,80.0,72.0,64.0,62.0,74.0
F. Muslera,79.8,,,,,
V. Ćorluka,11.2,80.0,69.0,62.0,62.0,76.0
G. Wijnaldum,10.8,70.0,80.0,78.0,80.0,74.0
F. Fazio,10.8,81.0,61.0,56.0,49.0,70.0
O. Giroud,9.8,55.0,71.0,80.0,73.0,53.0
B. Ivanović,12.2,81.0,68.0,67.0,64.0,76.0
J. Hernández,11.6,46.0,68.0,80.0,77.0,52.0
Beñat,11.8,68.0,81.0,72.0,75.0,71.0
L. Bender,8.8,80.0,77.0,71.0,71.0,79.0
A. Witsel,7.2,76.0,80.0,77.0,78.0,76.0
C. Bravo,81.0,,,,,
A. Begović,79.2,,,,,
Naldo,12.0,80.0,69.0,71.0,63.0,75.0
D. Sturridge,9.8,44.0,70.0,80.0,78.0,49.0
D. Rose,11.0,79.0,75.0,70.0,75.0,81.0
C. Vela,10.6,44.0,72.0,78.0,81.0,53.0
E. Viviano,81.0,,,,,
G. Castro,12.0,72.0,81.0,73.0,79.0,77.0
S. Nasri,1.0,48.0,76.0,74.0,81.0,60.0
A. Williams,10.0,80.0,65.0,57.0,54.0,72.0
S. Mandanda,80.6,,,,,
L. Baines,11.6,77.0,78.0,74.0,76.0,80.0
A. Consigli,80.4,,,,,
João Moutinho,13.8,71.0,80.0,75.0,78.0,74.0
B. Costil,81.2,,,,,
Raúl Albiol,7.2,81.0,63.0,55.0,53.0,72.0
J. Hart,80.0,,,,,
M. Gómez,9.2,48.0,65.0,80.0,74.0,49.0
Raffael,10.8,54.0,79.0,78.0,82.0,60.0
A. Turan,10.4,68.0,79.0,76.0,80.0,70.0
Fernandinho,9.6,77.0,79.0,73.0,75.0,77.0
David Villa,9.2,48.0,73.0,80.0,80.0,55.0
S. Lichtsteiner,2.8,79.0,74.0,68.0,72.0,80.0
R. Jarstein,80.6,,,,,
Gabriel Jesus,9.6,44.0,73.0,80.0,82.0,53.0
Nélson Semedo,12.8,74.0,73.0,69.0,75.0,80.0
Gelson Martins,8.6,52.0,73.0,73.0,81.0,64.0
Malcom,10.6,42.0,73.0,76.0,81.0,53.0
J. Weigl,10.8,74.0,79.0,63.0,70.0,77.0
D. Sánchez,9.4,80.0,61.0,59.0,54.0,73.0
A. Kramarić,11.6,45.0,70.0,80.0,79.0,52.0
M. Brozović,10.0,70.0,80.0,74.0,78.0,74.0
Williams,13.2,51.0,72.0,79.0,81.0,58.0
Dani García,10.2,73.0,77.0,63.0,65.0,71.0
A. Christensen,8.8,80.0,67.0,55.0,60.0,76.0
J. Kimmich,12.0,76.0,80.0,74.0,78.0,80.0
Bruma,10.4,48.0,72.0,74.0,80.0,58.0
D. Berardi,5.4,47.0,74.0,78.0,81.0,56.0
M. Sanson,11.2,75.0,80.0,76.0,78.0,77.0
A. Rabiot,10.4,75.0,80.0,75.0,76.0,74.0
R. Guerreiro,9.0,72.0,80.0,75.0,81.0,78.0
J. Vardy,12.4,61.0,69.0,79.0,77.0,66.0
H. Ziyech,10.2,58.0,80.0,74.0,79.0,66.0
M. Keane,11.2,80.0,67.0,62.0,62.0,77.0
Jorginho,11.2,71.0,80.0,70.0,75.0,75.0
Héctor Bellerín,12.2,74.0,71.0,66.0,74.0,80.0
J. Butland,79.8,,,,,
S. Zaza,9.0,56.0,66.0,80.0,74.0,56.0
T. Meunier,10.2,78.0,78.0,77.0,77.0,80.0
Felipe Anderson,8.6,59.0,77.0,74.0,81.0,70.0
Rafinha,10.4,65.0,80.0,76.0,80.0,71.0
Nacho Fernández,10.2,80.0,65.0,57.0,60.0,78.0
J. Cillessen,78.8,,,,,
Sergi Roberto,13.2,76.0,78.0,70.0,76.0,80.0
W. Ben Yedder,8.4,48.0,73.0,80.0,81.0,57.0
Lucas Pérez,10.0,49.0,73.0,80.0,80.0,55.0
R. Barkley,10.2,64.0,78.0,76.0,78.0,65.0
C. Bakambu,9.0,51.0,71.0,80.0,80.0,56.0
W. Zaha,12.2,47.0,70.0,74.0,80.0,57.0
Bartra,11.6,80.0,75.0,66.0,69.0,77.0
S. Aurier,11.4,79.0,75.0,74.0,76.0,80.0
S. Coates,14.6,80.0,65.0,59.0,53.0,70.0
G. Krychowiak,10.0,80.0,74.0,66.0,65.0,74.0
K. Kampl,10.6,61.0,80.0,70.0,78.0,70.0
D. Lovren,11.6,80.0,63.0,54.0,55.0,73.0
A. Yarmolenko,7.8,52.0,76.0,79.0,81.0,59.0
Y. Belhanda,12.8,63.0,78.0,76.0,80.0,68.0
Mário Fernandes,12.8,79.0,75.0,72.0,75.0,80.0
R. Rodríguez,13.2,76.0,77.0,71.0,75.0,79.0
J. Corona,10.0,49.0,74.0,75.0,81.0,59.0
Mario Gaspar,10.6,78.0,72.0,72.0,73.0,80.0
Marcos Alonso,10.0,77.0,76.0,74.0,76.0,79.0
M. Götze,9.8,51.0,79.0,75.0,81.0,58.0
L. Hrádecký,78.6,,,,,
Illarramendi,11.8,74.0,80.0,70.0,74.0,75.0
De Marcos,10.2,75.0,76.0,73.0,76.0,80.0
C. Smalling,14.2,79.0,62.0,60.0,58.0,74.0
Iturraspe,8.6,78.0,80.0,71.0,70.0,75.0
J. Wilshere,11.2,67.0,79.0,73.0,78.0,70.0
S. Rudy,11.2,72.0,80.0,72.0,76.0,76.0
M. Lanzini,10.2,42.0,74.0,73.0,79.0,54.0
R. Boudebouz,12.4,46.0,75.0,74.0,80.0,56.0
Camacho,11.0,80.0,76.0,70.0,67.0,75.0
Paulinho,11.4,77.0,79.0,77.0,76.0,78.0
N. Kalinić,9.4,52.0,68.0,80.0,76.0,55.0
Giuliano,11.4,56.0,75.0,77.0,79.0,61.0
C. Benteke,8.8,51.0,67.0,79.0,73.0,51.0
D. Perotti,8.2,45.0,75.0,74.0,81.0,56.0
M. Parolo,8.8,78.0,80.0,78.0,76.0,78.0
K. Mitroglou,10.6,44.0,65.0,79.0,71.0,43.0
M. Sakho,10.0,79.0,62.0,51.0,53.0,73.0
A. Rami,4.2,79.0,58.0,59.0,50.0,68.0
S. Jovetić,8.0,49.0,73.0,80.0,80.0,55.0
S. Coleman,10.0,78.0,76.0,72.0,75.0,80.0
S. Kjær,10.8,79.0,65.0,61.0,56.0,75.0
Adán,79.6,,,,,
M. Valbuena,9.6,42.0,74.0,73.0,80.0,55.0
S. Mignolet,76.6,,,,,
D. Astori,4.0,80.0,62.0,55.0,53.0,73.0
K. Mirallas,12.0,56.0,74.0,77.0,80.0,64.0
Raúl García,15.0,73.0,80.0,79.0,77.0,70.0
M. Škrtel,8.8,79.0,58.0,54.0,49.0,72.0
T. Heaton,79.6,,,,,
H. Ben Arfa,10.8,49.0,74.0,75.0,79.0,54.0
Dante,10.2,79.0,68.0,60.0,59.0,72.0
A. Gignac,12.2,55.0,71.0,79.0,75.0,56.0
Gabi,8.6,74.0,79.0,71.0,74.0,75.0
G. Rodríguez,9.6,80.0,67.0,60.0,58.0,73.0
D. Srna,8.8,77.0,81.0,74.0,77.0,79.0
B. Schweinsteiger,13.0,76.0,79.0,73.0,72.0,71.0
C. Carrasso,79.6,,,,,
Moyá,81.0,,,,,
W. Rooney,9.8,63.0,77.0,79.0,77.0,63.0
P. Mertesacker,10.0,79.0,61.0,55.0,47.0,69.0
T. Motta,9.2,78.0,76.0,65.0,63.0,70.0
Fernando Torres,10.8,45.0,68.0,79.0,77.0,49.0
S. Eto'o,10.6,53.0,72.0,79.0,78.0,56.0
M. Rashford,10.6,50.0,71.0,79.0,80.0,58.0
S. Milinković-Savić,9.4,76.0,79.0,78.0,75.0,74.0
Y. Tielemans,10.0,69.0,79.0,73.0,74.0,70.0
Jemerson,10.8,79.0,61.0,53.0,52.0,71.0
N. Bentaleb,11.8,70.0,79.0,71.0,75.0,71.0
Alisson,77.0,,,,,
Alex Telles,11.6,75.0,76.0,71.0,75.0,79.0
J. Brandt,11.0,42.0,73.0,74.0,80.0,52.0
K. Demirbay,13.6,61.0,78.0,73.0,78.0,65.0
D. Rugani,6.0,79.0,61.0,55.0,54.0,72.0
Samu Castillejo,13.2,46.0,74.0,71.0,80.0,58.0
P. Zieliński,10.0,64.0,79.0,72.0,79.0,73.0
Ricardo Pereira,13.0,75.0,78.0,72.0,78.0,79.0
Grimaldo,10.0,74.0,74.0,70.0,75.0,79.0
Fred,12.8,70.0,79.0,72.0,78.0,76.0
J. Hector,11.0,78.0,76.0,69.0,73.0,80.0
E. Can,10.8,79.0,79.0,73.0,74.0,77.0
S. Kolašinac,11.2,79.0,65.0,66.0,65.0,77.0
Arrizabalaga,78.6,,,,,
A. Pléa,13.8,54.0,72.0,79.0,78.0,59.0
T. Stepanenko,12.0,78.0,75.0,68.0,68.0,76.0
O. Shatov,11.6,57.0,75.0,75.0,79.0,64.0
Leo Baptistao,9.2,45.0,69.0,79.0,78.0,52.0
M. Nastasić,13.2,79.0,61.0,51.0,51.0,74.0
Denis Suárez,9.6,56.0,79.0,74.0,81.0,65.0
M. Batshuayi,11.4,46.0,62.0,79.0,75.0,50.0
J. Brooks,8.8,79.0,64.0,58.0,57.0,72.0
Eric Botteghin,13.8,79.0,58.0,50.0,43.0,66.0
L. Karius,78.6,,,,,
T. Hazard,7.4,49.0,75.0,75.0,82.0,59.0
V. Germain,11.0,48.0,73.0,79.0,79.0,55.0
L. Kurzawa,11.0,77.0,77.0,75.0,77.0,79.0
J. Iličić,10.4,48.0,76.0,77.0,80.0,56.0
K. Volland,8.6,55.0,76.0,79.0,80.0,61.0
Allan,8.8,78.0,79.0,72.0,75.0,80.0
P. Hernández,11.0,70.0,79.0,74.0,75.0,70.0
D. Tadić,12.2,49.0,74.0,72.0,77.0,56.0
L. Muriel,9.6,43.0,69.0,79.0,79.0,51.0
Pablo Sarabia,11.6,42.0,73.0,74.0,79.0,53.0
A. Oxlade-Chamberlain,9.8,59.0,74.0,72.0,79.0,66.0
J. Guilavogui,12.2,81.0,73.0,68.0,66.0,77.0
O. Özyakup,10.8,64.0,79.0,72.0,78.0,69.0
Y. Rakitskyi,10.6,79.0,77.0,69.0,70.0,78.0
Sergi Enrich,8.8,56.0,72.0,79.0,76.0,58.0
Neto,79.0,,,,,
Hugo Mallo,10.8,76.0,70.0,59.0,66.0,79.0
D. Didavi,10.6,61.0,76.0,79.0,79.0,65.0
R. Soriano,12.2,68.0,79.0,76.0,79.0,72.0
A. Schürrle,10.2,52.0,72.0,78.0,80.0,60.0
M. Gonalons,9.2,79.0,73.0,68.0,67.0,76.0
R. Pereyra,4.8,69.0,79.0,72.0,78.0,74.0
K. Vogt,9.6,79.0,72.0,67.0,66.0,76.0
F. Orellana,13.0,45.0,72.0,74.0,80.0,54.0
Maicon,11.2,79.0,63.0,61.0,57.0,73.0
E. Salvio,9.6,55.0,73.0,76.0,79.0,62.0
D. Blind,11.0,78.0,78.0,67.0,71.0,78.0
S. El Shaarawy,4.2,44.0,70.0,74.0,79.0,54.0
M. Antonio,11.4,64.0,71.0,79.0,77.0,65.0
Iago Falqué,10.8,46.0,74.0,73.0,80.0,57.0
S. Rondón,10.4,50.0,62.0,79.0,71.0,49.0
Daniel Carriço,13.2,79.0,70.0,63.0,61.0,74.0
M. Schmelzer,11.2,78.0,68.0,64.0,66.0,79.0
J. McCarthy,10.8,76.0,76.0,67.0,70.0,76.0
A. Dzagoev,12.6,71.0,78.0,76.0,78.0,74.0
Ganso,10.6,49.0,77.0,72.0,74.0,54.0
F. Smolov,13.2,49.0,70.0,79.0,77.0,53.0
D. Welbeck,10.6,53.0,71.0,78.0,77.0,58.0
Luiz Gustavo,10.4,79.0,73.0,65.0,65.0,76.0
Mikel San José,10.0,79.0,79.0,72.0,68.0,72.0
M. Darmian,7.8,77.0,72.0,68.0,71.0,79.0
R. Thomas,11.0,79.0,60.0,51.0,48.0,71.0
I. Traoré,7.6,49.0,73.0,72.0,80.0,60.0
Sidnei,12.2,79.0,66.0,61.0,60.0,72.0
J. Lens,13.4,49.0,72.0,77.0,80.0,58.0
Eder,10.0,42.0,71.0,78.0,81.0,53.0
Kiko Casilla,79.4,,,,,
Nacho Monreal,5.8,77.0,72.0,65.0,70.0,79.0
S. Bender,11.4,79.0,68.0,61.0,59.0,75.0
M. Díaz,2.0,74.0,79.0,69.0,72.0,75.0
A. Fernández,10.6,71.0,79.0,73.0,76.0,72.0
